source;target;number;playerName;age;position;value;transferFee;season;loanEnd;loanStart;loanFee;sourceOriginal;targetOriginal;transferFeeOriginal
NK Zagreb;SG Dynamo Dresden;6568;Nikica Maglica;27;fwd;NA;NA;1992;0;0;NA;NK Zagreb;SG Dynamo Dresden;?
Dynamo Dresden;SG Dynamo Dresden;6569;Alexander Zickler;18;fwd;NA;0;1992;0;0;NA;Dynamo Dresden U19;SG Dynamo Dresden;-
Dynamo Dresden;SG Dynamo Dresden;6570;Jens Jeremies;18;mid;NA;0;1992;0;0;NA;Dynamo Dresden U19;SG Dynamo Dresden;-
SG Dynamo Dresden;1.FC Nürnberg;6571;Uwe Rösler;23;fwd;NA;600000;1992;0;0;NA;SG Dynamo Dresden;1.FC Nürnberg;600 Tsd. €
SG Dynamo Dresden;Bayer 04 Leverkusen;6572;Heiko Scholz;26;mid;NA;0;1992;0;0;NA;SG Dynamo Dresden;Bayer 04 Leverkusen;ablösefrei
SG Dynamo Dresden;FV Dresden 06 Laubegast;6573;Thomas Ehrlich;18;mid;NA;NA;1992;0;0;NA;SG Dynamo Dresden;FV Dresden 06 Laubegast;?
SG Dynamo Dresden;Rot-Weiss Essen;6574;Oliver Pagé;21;def;NA;NA;1992;0;0;NA;SG Dynamo Dresden;Rot-Weiss Essen;?
SG Dynamo Dresden;SpVgg Unterhaching;6575;Sergio Allievi;28;mid;NA;NA;1992;0;0;NA;SG Dynamo Dresden;SpVgg Unterhaching;?
SG Dynamo Dresden;1.FC Union Berlin;6576;Steffen Büttner;28;def;NA;NA;1992;0;0;NA;SG Dynamo Dresden;1.FC Union Berlin;?
SG Dynamo Dresden;Galatasaray Istanbul;6577;Torsten Gütschow;30;fwd;NA;NA;1992;0;0;NA;SG Dynamo Dresden;Galatasaray Istanbul;?
Bayer 04 Leverkusen;SG Wattenscheid 09;6578;Marek Lesniak;28;fwd;NA;0;1992;0;0;NA;Bayer 04 Leverkusen;SG Wattenscheid 09;ablösefrei
VfL Gevelsberg (aufgel.);SG Wattenscheid 09;6579;Guido Silberbach;25;fwd;NA;0;1992;0;0;NA;VfL Gevelsberg (aufgel.);SG Wattenscheid 09;ablösefrei
Stuttgarter Kickers;SG Wattenscheid 09;6580;Karel Kula;28;mid;NA;NA;1992;0;0;NA;Stuttgarter Kickers;SG Wattenscheid 09;?
Unbekannt;SG Wattenscheid 09;6581;Thomas Audehm;25;def;NA;NA;1992;0;0;NA;Unbekannt;SG Wattenscheid 09;?
SV Werder Bremen;SG Wattenscheid 09;6582;Günter Hermann;31;mid;NA;NA;1992;0;0;NA;SV Werder Bremen;SG Wattenscheid 09;?
SG Wattenscheid 09;SG Wattenscheid 09;6583;Carsten Wolters;22;def;NA;0;1992;0;0;NA;SG Wattenscheid 09 II;SG Wattenscheid 09;-
SG Wattenscheid 09;SG Wattenscheid 09;6584;Thorsten Daniel;21;def;NA;0;1992;0;0;NA;SG Wattenscheid 09 II;SG Wattenscheid 09;-
SG Wattenscheid 09;FC Bayern München;6585;Markus Schupp;26;mid;NA;0;1992;0;0;NA;SG Wattenscheid 09;FC Bayern München;ablösefrei
SG Wattenscheid 09;Tennis Borussia Berlin;6586;René Unglaube;26;fwd;NA;NA;1992;0;0;NA;SG Wattenscheid 09;Tennis Borussia Berlin;?
